,symbol,expiry,strike,bid_price_call,ask_price_call,mid_price_call,last_price_call,volume_call,ib_bid_delta_call,implied_vol_mid_point_call,mid_point_delta_call,bid_price_put,ask_price_put,mid_price_put,last_price_put,volume_put,ib_bid_delta_put,implied_vol_mid_point_put,mid_point_delta_put,und_price,tte
74,GME,2021-06-18,302.5,14.95,16.1,15.525,16.56,13.0,0.38888148167684683,1.5397753426857246,0.3793955068673959,45.35,47.05,46.2,45.4,40.0,-0.6209634179908607,1.5606919977855285,-0.6162917761267102,272.010009765625,0.025691699604743084
75,GME,2021-06-18,310.0,,,,14.45,149.0,,,,,,,51.15,108.0,,,,272.010009765625,0.025691699604743084
76,GME,2021-06-18,320.0,,,,11.95,326.0,,,,,,,60.0,39.0,,,,272.010009765625,0.025691699604743084
77,GME,2021-06-18,330.0,,,,10.0,299.0,,,,,,,71.5,18.0,,,,272.010009765625,0.025691699604743084
78,GME,2021-06-18,340.0,,,,9.0,122.0,,,,75.85,78.25,77.05,75.0,5.0,-0.762811690863238,1.676412678115824,-0.7556403815465116,272.010009765625,0.025691699604743084
79,GME,2021-06-18,350.0,,,,7.75,393.0,,,,84.95,87.1,86.025,,,-0.7917541710969584,1.7176081185876915,-0.7806850606726755,272.010009765625,0.025691699604743084
80,GME,2021-06-18,360.0,,,,7.05,78.0,,,,93.85,96.2,95.025,,1.0,-0.8176302267574729,1.7473039222546596,-0.8043361747227238,272.010009765625,0.025691699604743084
81,GME,2021-06-18,370.0,,,,6.0,210.0,,,,102.95,105.45,104.2,,1.0,-0.8369047601143005,1.778979543557978,-0.8245912023900498,272.010009765625,0.025691699604743084
82,GME,2021-06-18,380.0,,,,5.5,41.0,,,,112.3,114.8,113.55,,3.0,-0.8572827227088575,1.8154441658203055,-0.8413749255118843,272.010009765625,0.025691699604743084
83,GME,2021-06-18,390.0,4.5,5.05,4.775,4.95,233.0,0.13934975856793172,1.8045864186442782,0.13544068396846903,121.8,124.25,123.025,,,-0.8703222533571163,1.85469134349511,-0.8554535245023662,272.010009765625,0.025691699604743084
84,GME,2021-06-25,202.5,,,,,,,,,,,,7.8,5.0,,,,272.010009765625,0.045454545454545456
85,GME,2021-06-25,205.0,,,,,3.0,,,,,,,,,,,,272.010009765625,0.045454545454545456
86,GME,2021-06-25,207.5,,,,,,,,,,,,,,,,,272.010009765625,0.045454545454545456
87,GME,2021-06-25,210.0,69.3,72.1,70.69999999999999,,6.0,0.8479781814236417,1.4802724739971262,0.8358683419803032,8.65,9.5,9.075,9.6,8.0,-0.1650090913481925,1.509983379481222,-0.16660730856944084,272.010009765625,0.045454545454545456
88,GME,2021-06-25,212.5,,,,,,,,,,,,,,,,,272.010009765625,0.045454545454545456
89,GME,2021-06-25,215.0,,,,,,,,,,,,,,,,,272.010009765625,0.045454545454545456
90,GME,2021-06-25,217.5,,,,,,,,,,,,,,,,,272.010009765625,0.045454545454545456
91,GME,2021-06-25,220.0,61.85,64.65,63.25,72.0,8.0,0.812311912306745,1.465887920346991,0.798219621836203,11.25,12.2,11.725,11.6,72.0,-0.20674178391500386,1.4982075456205597,-0.20422983705326003,272.010009765625,0.045454545454545456
92,GME,2021-06-25,222.5,,,,,2.0,,,,,,,,2.0,,,,272.010009765625,0.045454545454545456
93,GME,2021-06-25,225.0,,,,,,,,,,,,,6.0,,,,272.010009765625,0.045454545454545456
94,GME,2021-06-25,227.5,,,,,,,,,,,,,,,,,272.010009765625,0.045454545454545456
95,GME,2021-06-25,230.0,55.05,57.75,56.4,,,0.7627979655204491,1.4597882354627412,0.7563591409076114,14.35,15.45,14.899999999999999,,8.0,-0.24070439421696121,1.4907359609025495,-0.2453199616573899,272.010009765625,0.045454545454545456
96,GME,2021-06-25,232.5,,,,,,,,,,,,,,,,,272.010009765625,0.045454545454545456
97,GME,2021-06-25,235.0,,,,,,,,,,,,,2.0,,,,272.010009765625,0.045454545454545456
98,GME,2021-06-25,237.5,,,,,1.0,,,,,,,17.25,2.0,,,,272.010009765625,0.045454545454545456
99,GME,2021-06-25,240.0,48.85,51.3,50.075,48.2,3.0,0.7183371742537713,1.4551694510824977,0.7118085054814172,,,,19.0,19.0,,,,272.010009765625,0.045454545454545456
100,GME,2021-06-25,242.5,,,,,1.0,,,,,,,,,,,,272.010009765625,0.045454545454545456
101,GME,2021-06-25,245.0,,,,,,,,,,,,,1.0,,,,272.010009765625,0.045454545454545456
102,GME,2021-06-25,247.5,,,,,,,,,,,,,13.0,,,,272.010009765625,0.045454545454545456
103,GME,2021-06-25,250.0,43.35,45.2,44.275000000000006,49.5,22.0,0.668325833885625,1.451491707787427,0.6654531719338981,22.1,23.5,22.8,23.0,21.0,-0.3350218856814831,1.4803031536789226,-0.33442809577806176,272.010009765625,0.045454545454545456
104,GME,2021-06-25,252.5,,,,,,,,,,,,24.57,13.0,,,,272.010009765625,0.045454545454545456
105,GME,2021-06-25,255.0,,,,,,,,,,,,,,,,,272.010009765625,0.045454545454545456
106,GME,2021-06-25,257.5,,,,,1.0,,,,,,,,,,,,272.010009765625,0.045454545454545456
107,GME,2021-06-25,260.0,38.45,40.0,39.225,,14.0,0.6245778096836234,1.4589882915061136,0.6181791348863158,27.35,28.95,28.15,27.5,18.0,-0.37277484431067665,1.5050665218778783,-0.3806824325125824,272.010009765625,0.045454545454545456
108,GME,2021-06-25,262.5,,,,,1.0,,,,,,,,,,,,272.010009765625,0.045454545454545456
109,GME,2021-06-25,265.0,,,,37.98,6.0,,,,29.95,31.4,30.674999999999997,,1.0,-0.39545370305754757,1.5020123861776515,-0.40354886945729607,272.010009765625,0.045454545454545456
110,GME,2021-06-25,267.5,,,,,1.0,,,,,,,,,,,,272.010009765625,0.045454545454545456
111,GME,2021-06-25,270.0,34.7,35.8,35.25,34.75,14.0,0.5783576779138575,1.4915255882549214,0.5723346633103171,32.75,34.2,33.475,34.33,5.0,-0.4179670470721514,1.5059805453724744,-0.42616112676977136,272.010009765625,0.045454545454545456
