,data_collection_time,symbol,expiry,strike,kind,und_price,bid_price,ask_price,mid_price,last_price,volume,ib_bid_delta
1150,2021-06-25 11:54:47.234314,AMC,2021-06-25,85.0,C,54.34000015258789,0.01,0.02,0.015,0.02,407.0,1.0550567941646927e-06
1151,2021-06-25 11:54:47.234314,AMC,2021-06-25,86.0,C,54.34000015258789,0.01,0.02,0.015,0.02,132.0,9.925635974160238e-07
1152,2021-06-25 11:54:47.234314,AMC,2021-06-25,87.0,C,54.34000015258789,0.01,0.02,0.015,0.02,168.0,9.331233421387675e-07
1153,2021-06-25 11:54:47.234314,AMC,2021-06-25,88.0,C,54.34000015258789,0.01,0.02,0.015,0.03,123.0,8.764816347109755e-07
1154,2021-06-25 11:54:47.234314,AMC,2021-06-25,89.0,C,54.34000015258789,0.01,0.02,0.015,0.02,41.0,8.224160058064161e-07
1155,2021-06-25 11:54:47.234314,AMC,2021-06-25,90.0,C,54.34000015258789,0.01,0.02,0.015,0.02,848.0,7.707338870951663e-07
1156,2021-06-25 11:54:47.234314,AMC,2021-06-25,91.0,C,54.34000015258789,0.01,0.02,0.015,0.03,48.0,7.212533708955771e-07
1157,2021-06-25 11:54:47.234314,AMC,2021-06-25,92.0,C,54.34000015258789,0.01,0.02,0.015,0.02,18.0,6.738180432703945e-07
1158,2021-06-25 11:54:47.234314,AMC,2021-06-25,93.0,C,54.34000015258789,0.01,0.02,0.015,0.01,28.0,
1159,2021-06-25 11:54:47.234314,AMC,2021-06-25,94.0,C,54.34000015258789,0.01,0.02,0.015,0.01,166.0,
1160,2021-06-25 11:54:47.234314,AMC,2021-06-25,95.0,C,54.33100128173828,0.01,0.02,0.015,0.02,143.0,5.558840991357455e-07
1161,2021-06-25 11:54:47.234314,AMC,2021-06-25,96.0,C,54.33100128173828,0.01,0.02,0.015,0.02,106.0,
1162,2021-06-25 11:54:47.234314,AMC,2021-06-25,100.0,C,54.33100128173828,0.01,0.02,0.015,0.01,1498.0,4.509612863288231e-07
1163,2021-06-25 11:54:47.235314,AMC,2021-06-25,105.0,C,54.33100128173828,0.01,0.02,0.015,0.02,460.0,3.552108714418959e-07
1164,2021-06-25 11:54:47.235314,AMC,2021-06-25,110.0,C,54.33100128173828,0.01,0.02,0.015,0.01,342.0,2.7195281252207525e-07
1165,2021-06-25 11:54:47.235314,AMC,2021-06-25,115.0,C,54.33100128173828,-1.0,0.01,-0.495,0.01,854.0,
1166,2021-06-25 11:54:47.235314,AMC,2021-06-25,120.0,C,54.33100128173828,-1.0,0.01,-0.495,0.01,239.0,
1167,2021-06-25 11:54:47.235314,AMC,2021-06-25,125.0,C,54.33100128173828,-1.0,0.01,-0.495,0.01,74.0,
1168,2021-06-25 11:54:47.235314,AMC,2021-06-25,130.0,C,54.33100128173828,-1.0,0.01,-0.495,0.01,156.0,
1169,2021-06-25 11:54:47.235314,AMC,2021-06-25,135.0,C,54.33100128173828,0.0,0.01,0.005,0.01,99.0,
1170,2021-06-25 11:54:47.235314,AMC,2021-06-25,140.0,C,54.33100128173828,-1.0,0.01,-0.495,0.01,727.0,
1171,2021-06-25 11:54:47.235314,AMC,2021-06-25,145.0,C,54.33100128173828,0.0,0.01,0.005,0.01,2820.0,
1172,2021-06-25 11:54:47.235314,AMC,2021-07-02,0.5,C,54.33100128173828,53.35,53.9,53.625,53.75,13.0,
1173,2021-06-25 11:54:47.235314,AMC,2021-07-02,1.0,C,54.33100128173828,52.95,53.45,53.2,53.15,55.0,
1174,2021-06-25 11:54:47.235314,AMC,2021-07-02,1.5,C,54.33100128173828,52.5,52.95,52.725,,,
